ID,Main Artist,Featuring,Song,Key,BPM,Duration,Genre,Language,Country,Year Released,Arrangement,Piano?,Guitar solo?,Classic?,Main Artist_normalized,Featuring_normalized,Song_normalized,Genre_normalized,Language_normalized,Country_normalized,Arrangement_normalized,Key_normalized,BPM Range,Year Range
114.0,Marc Anthony,,Vivir Mi Vida,Eb,105,4:12,['Salsa'],['Spanish'],['USA'],2013,[],,,,marc anthony,,vivir mi vida,['salsa'],['spanish'],['usa'],[],eb,100.0,2010.0
115.0,Marc Anthony,,Tu Amor Me Hace Bien,C,98,5:00,['Salsa'],['Spanish'],['USA'],2004,['Long song'],,,,marc anthony,,tu amor me hace bien,['salsa'],['spanish'],['usa'],['long song'],c,90.0,2000.0
116.0,Marc Anthony,,Flor Pálida,G,94,4:40,['Salsa'],['Spanish'],['USA'],2013,[],,,,marc anthony,,flor palida,['salsa'],['spanish'],['usa'],[],g,90.0,2010.0
117.0,Tones and I,,Dance Monkey,F#m,98,3:29,['Electropop'],['English'],['Australia'],2019,[],,,,tones and i,,dance monkey,['electropop'],['english'],['australia'],[],f#m,90.0,2010.0
118.0,A.Cinco,,Contigo Quiero Despertar,D,128,4:23,['Latin Pop'],['Spanish'],['Venezuela'],2016,['Just Major'],,,,a.cinco,,contigo quiero despertar,['latin pop'],['spanish'],['venezuela'],['just major'],d,120.0,2010.0
119.0,Alex Cuba & Leonel García,,Solo Mía,A,88,4:12,['Latin Pop'],['Spanish'],"['Cuba', 'Mexico']",2020,[],,,,alex cuba & leonel garcia,,solo mia,['latin pop'],['spanish'],"['cuba', 'mexico']",[],a,80.0,2020.0
120.0,Maná,Pablo Alborán,Rayando El Sol,G,61,4:17,"['Latin Rock', 'Pop']",['Spanish'],"['Mexico', 'Spain']",2019,[],,,,mana,pablo alboran,rayando el sol,"['latin rock', 'pop']",['spanish'],"['mexico', 'spain']",[],g,60.0,2010.0
121.0,Rawayana,,#Sádico,Fm,122,5:37,"['Reggae', 'Latin']",['Spanish'],['Venezuela'],2017,['Long song'],,,,rawayana,,#sadico,"['reggae', 'latin']",['spanish'],['venezuela'],['long song'],fm,120.0,2010.0
122.0,Shesura,,A ver si me va a querer,B,126,3:30,['Latin Pop'],['Spanish'],['Mexico'],2021,[],,,,shesura,,a ver si me va a querer,['latin pop'],['spanish'],['mexico'],[],b,120.0,2020.0
123.0,Cultura Profética,,Ilegal,Bbm,117,4:22,['Reggae'],['Spanish'],['Puerto Rico'],2005,[],,,,cultura profetica,,ilegal,['reggae'],['spanish'],['puerto rico'],[],bbm,110.0,2000.0
124.0,Sublime,,Santeria,E,91,3:02,"['Ska Punk', 'Reggae Rock']",['English'],['USA'],1996,[],,,x,sublime,,santeria,"['ska punk', 'reggae rock']",['english'],['usa'],[],e,90.0,1990.0
